label,statement,description,url,significance_0_3,notes
relogbzexpd,|- ( ph -> ( B logb ( C ^ N ) ) = ( N x. ( B logb C ) ) ),"Power law for the general logarithm for integer powers: The logarithm of a positive real number to the power of an integer is equal to the product of the exponent and the logarithm of the base of the power, a deduction version. (Contributed by metakunt, 22-May-2024.)",https://us.metamath.org/mpeuni/relogbzexpd.html,,
absnid,|- ( ( A e. RR /\ A <_ 0 ) -> ( abs ` A ) = -u A ),"For a negative number, its absolute value is its negation. (Contributed by NM, 27-Feb-2005.)",https://us.metamath.org/mpeuni/absnid.html,,
blennngt2o2,|- ( ( N e. ( ZZ>= ` 2 ) /\ ( ( N + 1 ) / 2 ) e. NN0 ) -> ( #b ` N ) = ( ( #b ` ( ( N - 1 ) / 2 ) ) + 1 ) ),"The binary length of an odd integer greater than 1 is the binary length of the half of the integer decreased by 1, increased by 1. (Contributed by AV, 3-Jun-2020.)",https://us.metamath.org/mpeuni/blennngt2o2.html,,
pm5.21,|- ( ( -. ph /\ -. ps ) -> ( ph <-> ps ) ),"Two propositions are equivalent if they are both false. Theorem *5.21 of [WhiteheadRussell] p. 124. (Contributed by NM, 21-May-1994.)",https://us.metamath.org/mpeuni/pm5.21.html,,
sitmf,"|- ( ph -> ( W sitm M ) : ( dom ( W sitg M ) X. dom ( W sitg M ) ) --> ( 0 [,] +oo ) )","The integral metric as a function. (Contributed by Thierry Arnoux, 13-Mar-2018.)",https://us.metamath.org/mpeuni/sitmf.html,,
chle0i,|- ( A C_ 0H <-> A = 0H ),"No Hilbert closed subspace is smaller than zero. (Contributed by NM, 7-Apr-2001.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/chle0i.html,,
refdivpm,|- ( ( F : A --> RR /\ G : A --> RR /\ A e. V ) -> ( F /_f G ) e. ( RR ^pm A ) ),"The quotient of two functions into the real numbers is a partial function. (Contributed by AV, 16-May-2020.)",https://us.metamath.org/mpeuni/refdivpm.html,,
reefcl,|- ( A e. RR -> ( exp ` A ) e. RR ),"The exponential function is real if its argument is real. (Contributed by NM, 27-Apr-2005.) (Revised by Mario Carneiro, 28-Apr-2014.)",https://us.metamath.org/mpeuni/reefcl.html,,
derangfmla,|- ( ( A e. Fin /\ A =/= (/) ) -> ( D ` A ) = ( |_ ` ( ( ( ! ` ( # ` A ) ) / _e ) + ( 1 / 2 ) ) ) ),"The derangements formula, which expresses the number of derangements of a finite nonempty set in terms of the factorial. The expression ` |_ `` ( x + 1 / 2 ) ` is a way of saying ""rounded to the nearest integer"". (Contributed by Mario Carneiro, 23-Jan-2015.)",https://us.metamath.org/mpeuni/derangfmla.html,,
ndmfv,|- ( -. A e. dom F -> ( F ` A ) = (/) ),"The value of a class outside its domain is the empty set. (An artifact of our function value definition.) (Contributed by NM, 24-Aug-1995.)",https://us.metamath.org/mpeuni/ndmfv.html,,
fnsng,"|- ( ( A e. V /\ B e. W ) -> { <. A , B >. } Fn { A } )","Functionality and domain of the singleton of an ordered pair. (Contributed by Mario Carneiro, 30-Apr-2015.)",https://us.metamath.org/mpeuni/fnsng.html,,
curf2ndf,"|- ( ph -> ( <. C , D >. curryF ( C 2ndF D ) ) = ( ( 1st ` ( Q DiagFunc C ) ) ` ( idFunc ` D ) ) )","As shown in ~ diagval , the currying of the first projection is the diagonal functor. On the other hand, the currying of the second projection is ` x e. C |-> ( y e. D |-> y ) ` , which is a constant functor of the identity functor at ` D ` . (Contributed by Mario Carneiro, 15-Jan-2017.)",https://us.metamath.org/mpeuni/curf2ndf.html,,
isacs3,|- ( C e. ( ACS ` X ) <-> ( C e. ( Moore ` X ) /\ A. s e. ~P C ( ( toInc ` s ) e. Dirset -> U. s e. C ) ) ),"A closure system is algebraic iff directed unions of closed sets are closed. (Contributed by Stefan O'Rear, 2-Apr-2015.)",https://us.metamath.org/mpeuni/isacs3.html,,
